Titulo_Art,Procedencia_Art,Año_Art,Titulo_Ref,Procedencia_Ref,Año_Ref,Decada,Año_Art_Num,Año_Ref_Num,Dif_Años
Imputation Of Missing Data Through Product Type Exponential Methods In Sampling Theory,Revista Estadística de Colombia,2023,Estimation Of A Population Mean Using DiErent Imputation Methods,Statistics In Transition,2006,2020,2023,2006.0,17.0
A New Nadarajah-Haghighi Generalization With Five Diﬀerent Shapes For The Hazard Function,Revista Estadística de Colombia,2023,Mathematics Of Statistics 3 Edn,Chapman & Hall,1962,2020,2023,1962.0,61.0
"An Adaptive Method For Likelihood Optimization In Linear Mixed Models Under Constrained Search Spaces,  Un Método Adaptativo Para Optimizar La Función De Verosimilitud En Modelos Lineales Mixtos Bajo Espacios De Búsqueda Restringidos",Revista Estadística de Colombia,2023,Recovery Of Inter-Block Information When Block Sizes Are Unequal,Biometrika,1971,2020,2023,1971.0,52.0
The Topp-Leone-Gompertz-Exponentiated Half Logistic-G Family Of Distributions With Applications,Revista Estadística de Colombia,2023,The Exponentiated Generalized Extended Gompertz Distribution,Journal Of Data Science,2019,2020,2023,2019.0,4.0
A Proposito De Los Modelos Sobre Cafe En Colombia,Revista Estadística de Colombia,1981,"Coffe Consumption In The United States, 1920-1965",,1960,80s,1981,1960.0,21.0
Modelo Ii De Eisenhart,Revista Estadística de Colombia,1981,"Completeness, Similar Region And Unbiased Estimation, Part I",Sankhya: The Indian Journal Of Statistics,1950,80s,1981,1950.0,31.0
Enseñanza Y Currículo De Estadística En Diferentes Niveles,Revista Estadística de Colombia,1981,A Dictionary Of Statistical Terms: English Spanish English,Wadsworth Publishing,1981,80s,1981,1981.0,0.0
Palindromia Seudo-Palindromia Y Cadenas De Markov,Revista Estadística de Colombia,1984,La Transposición Y Otras Simetrías De Matrices Cuadradas,Universidad Nacional De Colombia,1983,80s,1984,1983.0,1.0
Sobre La Optimizacion De Estimadores De Minino Cuadrado,Revista Estadística de Colombia,1985,Linear Statistical Inference And Its Applications,John Wiley & Sons,1973,80s,1985,1973.0,12.0
Terminología En El Estudio De Valores Extremos,Revista Estadística de Colombia,1985,Outliers,Tecnometrics,1983,80s,1985,1983.0,2.0
Descomposición De Un Polinomio Sobre Zp (Cuerpo De Los Enteros Nodulo El Primo P ) En Sus Factores Irreducibles Mediante Un Computador,Revista Estadística de Colombia,1985,A Concrete Introduction To Higher Algebra,Springer-Verlag,1979,80s,1985,1979.0,6.0
Descomposición De Un Polinomio Sobre Zp (Cuerpo De Los Enteros Nodulo El Primo P ) En Sus Factores Irreducibles Mediante Un Computador,Revista Estadística de Colombia,1985,Computer Algebra,Scientific American,1981,80s,1985,1981.0,4.0
Descomposición De Un Polinomio Sobre Zp (Cuerpo De Los Enteros Nodulo El Primo P ) En Sus Factores Irreducibles Mediante Un Computador,Revista Estadística de Colombia,1985,"Introducción A La Ciencia De Los Computadores, Enfoque Algorítmico",Mcgraw Hills Publication Company,1982,80s,1985,1982.0,3.0
Contribución Al Estudio De Formas Cuadráticas En Estadística Multivariada,Revista Estadística de Colombia,1986,Linear Models,John Wiley,1971,80s,1986,1971.0,15.0
Escogencia De Los K Posibles Valores Extremos,Revista Estadística de Colombia,1986,Discussion,Tecnometrics,1983,80s,1986,1983.0,3.0
Escogencia De Los K Posibles Valores Extremos,Revista Estadística de Colombia,1986,Influencial Observations In Linear Regreasion,Journal Of The American Statistical Association,1979,80s,1986,1979.0,7.0
Normalidad Asintótica Del Estimador Irgna En Los Modelos De Regresión,Revista Estadística de Colombia,1986,Asymptotic Propierties Of Non Linear Ls Estimators,The Annals of Mathematical Statistics,1969,80s,1986,1969.0,17.0
La Estadística Y Los Terremotos (Descripción De Modelos),Revista Estadística de Colombia,1986,Elements Of Probability Theory,University Of California,1977,80s,1986,1977.0,9.0
